english,igala_primary,igala_variations,contributor,region,verified
neighbour,ẹkẹjí-wè,"ẹnẹ-adogbè",Manasseh,Dekina,yes
elder,ògijo,"ogijo",Manasseh,Dekina,yes
think,èkpibe,"kpibe",Manasseh,Dekina,yes
remember,èrewa,"reya",Manasseh,Dekina,yes
forget,ègbènyo,"gbenyọ",Manasseh,Dekina,yes
teach,èko-ònẹ-eñwu,"kọ",Manasseh,Dekina,yes
help,atekó,"atẹko",Manasseh,Dekina,yes
fight,ujá,"uja",Manasseh,Dekina,yes
play,ìya,"iya",Manasseh,Dekina,yes
dance,ìdo,"ido",Manasseh,Dekina,yes
sing,ẹli,"keli",Manasseh,Dekina,yes
carry,ẹdu,"du",Manasseh,Dekina,yes
push,ẹkechè,"kọchẹ",Manasseh,Dekina,yes
pull,ẹfo,"wọ",Manasseh,Dekina,yes
open,èbí,"bi",Manasseh,Dekina,yes
close,ẹrè,"re",Manasseh,Dekina,yes
return,ẹdabi wa,"dudabi",Manasseh,Dekina,yes
left,àwohi,"awoi,afoi",Manasseh,Dekina,yes
right,áwoto,"awọtọ",Manasseh,Dekina,yes
up,atẹ́,"atẹ",Manasseh,Dekina,yes
down,oganè,"ọganẹ",Manasseh,Dekina,yes
here,ẹmì,"emi",Manasseh,Dekina,yes
there,ọmó,"ọmọ",Manasseh,Dekina,yes
now,abajọ-i,"abajoi,ajoi",Manasseh,Dekina,yes
later,ídèpẹ̀,"edẹpẹ",Manasseh,Dekina,yes
always,ẹgbadù,"ikodu",Manasseh,Dekina,yes
never,gbegbelẹ,"otitala",Manasseh,Dekina,yes
early,ẹ tákpá,"ika",Manasseh,Dekina,yes
late,ẹ chèdù,"ekpikobiẹ",Manasseh,Dekina,yes
before,takì,"kwobi",Manasseh,Dekina,yes
after,ubí ánè,"ubianẹ",Manasseh,Dekina,yes
soon,í bo gbàne gén,"emẹranẹ",Manasseh,Dekina,yes
sand,ìkete,"ẹkẹtẹ,èlányí",Manasseh,Dekina,yes
grass,ègbè,,Manasseh,Dekina,yes
bush,ókó,"éfoko",Manasseh,Dekina,yes
forest,ókó jimm,"égbili",Manasseh,Dekina,yes
sea,aji,"itekwu",Manasseh,Dekina,yes
lake,ohímíní,"apata",Manasseh,Dekina,yes
hill,ùwó,"uwo",Manasseh,Dekina,yes
smoke,ódùdù,"odudu",Manasseh,Dekina,yes
ash,èlulu,,Manasseh,Dekina,yes
mud,èpío,"ama",Manasseh,Dekina,yes
dust,èbutu,,Manasseh,Dekina,yes
shadow,ojíjí,"ojiji",Manasseh,Dekina,yes
how are you?,àb' elẹ?,"ab'ele?",Manasseh,Dekina,yes
i am fine,ù chóla fíá,"uchugbede",Manasseh,Dekina,yes
what is your name?,eñwù ch' odu wè?,"ẹnwu choduwẹ?",Manasseh,Dekina,yes
where are you going?,ùgbó ẹlo?,"ugbo ẹlo?",Manasseh,Dekina,yes
come back,dábí wá,"wèmi",Manasseh,Dekina,yes
i am hungry,èbí ákpá mi,"ebi akpa mi",Manasseh,Dekina,yes
i am tired,olá mí chè kpa,"ọlami chẹ kpa",Manasseh,Dekina,yes
thank you very much,wola ùkọla mi,"wọla ukọlọ",Manasseh,Dekina,yes
god bless you,ojo kí dènyo ñwe,"ọjọ kidenyọ wẹ",Manasseh,Dekina,yes
i love you,ná fedọ wẹ,"nafẹdọ wẹ",Manasseh,Dekina,yes
where is the market?,ùgbó óñwù ájá lè dẹ?,"ugbo aja dẹ?",Manasseh,Dekina,yes
what is the price?,ónù ch' ájá ñwù?,"onu chẹjẹnwu?",Manasseh,Dekina,yes
i do not understand,í mẹru mì eju'n,"inẹru mi èjunwu",Manasseh,Dekina,yes
please help me,chatekó mì,"agba chatẹkomi",Manasseh,Dekina,yes
have a good day,eñini kì nyó ñwe,"enyọ kí dẹ kpai uwẹ engini",Manasseh,Dekina,yes
chair,ugwugwu,,Ramat,Kogi East Agbale,yes
table,itebulu,,Ramat,Kogi East Agbale,yes
door,ọna,,Ramat,Kogi East Agbale,yes
window,opè,,Ramat,Kogi East Agbale,yes
bed,atẹ,,Ramat,Kogi East Agbale,yes
pot,ucha,,Ramat,Kogi East Agbale,yes
cup,upka,,Ramat,Kogi East Agbale,yes
plate,ugba,,Ramat,Kogi East Agbale,yes
spoon,ukọdẹ,"ukọ",Ramat,Kogi East Agbale,yes
knife,ọbẹ,,Ramat,Kogi East Agbale,yes
rice,ochikapa,,Ramat,Kogi East Agbale,yes
yam,uchu,,Ramat,Kogi East Agbale,yes
beans,ẹgwa,,Ramat,Kogi East Agbale,yes
palm oil,èpko-ọjẹ,,Ramat,Kogi East Agbale,yes
meat,ẹla,,Ramat,Kogi East Agbale,yes
soup,óbo,,Ramat,Kogi East Agbale,yes
salt,omu,,Ramat,Kogi East Agbale,yes
pepper,akpọ,,Ramat,Kogi East Agbale,yes
fruit,ẹroli,,Ramat,Kogi East Agbale,yes
milk,imiliki,,Ramat,Kogi East Agbale,yes
egg,ẹgẹ,,Ramat,Kogi East Agbale,yes
bread,iburẹdi,,Ramat,Kogi East Agbale,yes
corn,akpa,,Ramat,Kogi East Agbale,yes
groundnut,ọpa,,Ramat,Kogi East Agbale,yes
banana,ọgẹdẹ,,Ramat,Kogi East Agbale,yes
wife,ọya,,Ramat,Kogi East Agbale,yes
baby,ọma,,Ramat,Kogi East Agbale,yes
grandfather,ókwọ-ọnẹkẹlẹ,,Ramat,Kogi East Agbale,yes
grandmother,ókwọ-onobulẹ,,Ramat,Kogi East Agbale,yes
uncle,ọmenyi,,Ramat,Kogi East Agbale,yes
aunt,omehi,,Ramat,Kogi East Agbale,yes
teacher,akukọ,,Ramat,Kogi East Agbale,yes
student,ọma-ukọchẹ,,Ramat,Kogi East Agbale,yes
chief,madaki,,Ramat,Kogi East Agbale,yes
farmer,aluchẹ,,Ramat,Kogi East Agbale,yes
doctor,idokitọ,,Ramat,Kogi East Agbale,yes
soldier,ajogwu,,Ramat,Kogi East Agbale,yes
stranger,ononojo,,Ramat,Kogi East Agbale,yes
neighbour,ẹnẹ-adogbè,,Ramat,Kogi East Agbale,yes
elder,ogijo,,Ramat,Kogi East Agbale,yes
think,kpibe,,Ramat,Kogi East Agbale,yes
remember,reya,,Ramat,Kogi East Agbale,yes
forget,gbenyọ,,Ramat,Kogi East Agbale,yes
teach,kọ,,Ramat,Kogi East Agbale,yes
help,atẹko,,Ramat,Kogi East Agbale,yes
fight,uja,,Ramat,Kogi East Agbale,yes
play,iya,,Ramat,Kogi East Agbale,yes
